,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.4550334930419922,0.00558261910804151,0.08981437683105468,0.0016260027353623334,1,"{1: 1, 0: 2}",rbf,,"{'C': 1, 'class_weight': {1: 1, 0: 2}, 'kernel': 'rbf'}",0.7806788511749347,0.819371727748691,0.7696335078534031,0.8167539267015707,0.7670157068062827,0.7906907440569764,0.02282998422919371,20
1,0.4069244861602783,0.0028317974085304066,0.0882458209991455,0.0014973652058361143,1,"{1: 1, 0: 1}",rbf,,"{'C': 1, 'class_weight': {1: 1, 0: 1}, 'kernel': 'rbf'}",0.804177545691906,0.806282722513089,0.7984293193717278,0.8010471204188482,0.7801047120418848,0.7980082840074911,0.00934318798862874,12
2,0.45098304748535156,0.006636756178358054,0.08743782043457031,0.0014070948539924232,2,"{1: 1, 0: 2}",rbf,,"{'C': 2, 'class_weight': {1: 1, 0: 2}, 'kernel': 'rbf'}",0.7989556135770235,0.8115183246073299,0.7879581151832461,0.8089005235602095,0.7931937172774869,0.8001052588410591,0.008991762249156784,10
3,0.4480281829833984,0.0032051785009859866,0.08607230186462403,0.0010548226381481176,2,"{1: 1, 0: 1}",rbf,,"{'C': 2, 'class_weight': {1: 1, 0: 1}, 'kernel': 'rbf'}",0.804177545691906,0.806282722513089,0.8115183246073299,0.8036649214659686,0.7958115183246073,0.8042910065205803,0.005069667350877562,6
4,0.4521146774291992,0.001771105663510363,0.08589673042297363,0.0007669820820379333,3,"{1: 1, 0: 2}",rbf,,"{'C': 3, 'class_weight': {1: 1, 0: 2}, 'kernel': 'rbf'}",0.8015665796344648,0.7905759162303665,0.7984293193717278,0.8115183246073299,0.8089005235602095,0.8021981326808196,0.007502889433777445,7
5,0.44815735816955565,0.005410125721227113,0.0860588550567627,0.0012015880944624135,3,"{1: 1, 0: 1}",rbf,,"{'C': 3, 'class_weight': {1: 1, 0: 1}, 'kernel': 'rbf'}",0.8120104438642297,0.7984293193717278,0.8115183246073299,0.8115183246073299,0.806282722513089,0.8079518269927413,0.005203388175708559,2
6,0.45403232574462893,0.0019505162040996638,0.08589019775390624,0.0009179146704681955,4,"{1: 1, 0: 2}",rbf,,"{'C': 4, 'class_weight': {1: 1, 0: 2}, 'kernel': 'rbf'}",0.793733681462141,0.7853403141361257,0.7958115183246073,0.806282722513089,0.8089005235602095,0.7980137519992344,0.008610255891784935,11
7,0.4547008991241455,0.004406249479542568,0.08654227256774902,0.0018633697029798427,4,"{1: 1, 0: 1}",rbf,,"{'C': 4, 'class_weight': {1: 1, 0: 1}, 'kernel': 'rbf'}",0.8120104438642297,0.7958115183246073,0.8089005235602095,0.8115183246073299,0.8115183246073299,0.8079518269927413,0.00616764624656697,2
8,0.28804669380187986,0.005105367013415353,0.05816502571105957,0.0008377528732039853,1,"{1: 1, 0: 2}",poly,1,"{'C': 1, 'class_weight': {1: 1, 0: 2}, 'degree': 1, 'kernel': 'poly'}",0.7650130548302873,0.7539267015706806,0.7303664921465969,0.7879581151832461,0.7356020942408377,0.7545732915943297,0.02083184413186938,24
9,0.42374191284179685,0.000971041093752175,0.09356064796447754,0.001191181734913048,1,"{1: 1, 0: 2}",poly,2,"{'C': 1, 'class_weight': {1: 1, 0: 2}, 'degree': 2, 'kernel': 'poly'}",0.7180156657963447,0.6963350785340314,0.7172774869109948,0.6544502617801047,0.6910994764397905,0.6954355938922533,0.023179026611838356,26
10,0.4321708679199219,0.003205291982271652,0.09496083259582519,0.00033796021883135554,1,"{1: 1, 0: 2}",poly,3,"{'C': 1, 'class_weight': {1: 1, 0: 2}, 'degree': 3, 'kernel': 'poly'}",0.40992167101827676,0.41361256544502617,0.4109947643979058,0.4109947643979058,0.4162303664921466,0.4123508263502522,0.0022900402144905283,37
11,0.4374809741973877,0.0007631413282102332,0.09571247100830078,0.0003565672533085812,1,"{1: 1, 0: 2}",poly,4,"{'C': 1, 'class_weight': {1: 1, 0: 2}, 'degree': 4, 'kernel': 'poly'}",0.40992167101827676,0.4109947643979058,0.4109947643979058,0.4109947643979058,0.4109947643979058,0.41078014572198,0.00042923735185160786,38
12,0.2855868339538574,0.0059369933575607855,0.05791406631469727,0.0007035035302760918,1,"{1: 1, 0: 1}",poly,1,"{'C': 1, 'class_weight': {1: 1, 0: 1}, 'degree': 1, 'kernel': 'poly'}",0.7989556135770235,0.7722513089005235,0.7931937172774869,0.819371727748691,0.7879581151832461,0.7943460965373942,0.015348249341996563,15
13,0.419828462600708,0.0016529678998789324,0.09324932098388672,0.000328109774052671,1,"{1: 1, 0: 1}",poly,2,"{'C': 1, 'class_weight': {1: 1, 0: 1}, 'degree': 2, 'kernel': 'poly'}",0.8015665796344648,0.7984293193717278,0.7931937172774869,0.8141361256544503,0.7617801047120419,0.7938211693300343,0.017441028616376232,16
14,0.43193836212158204,0.0008241540439698832,0.09462099075317383,0.0001983904133572265,1,"{1: 1, 0: 1}",poly,3,"{'C': 1, 'class_weight': {1: 1, 0: 1}, 'degree': 3, 'kernel': 'poly'}",0.5900783289817232,0.5890052356020943,0.5916230366492147,0.5890052356020943,0.5916230366492147,0.5902669746968682,0.0011745097981377469,31
