,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.46255269050598147,0.016747697199229403,0.005818510055541992,0.0003567547503193127,"{1: 1, 0: 2}",5,50,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 5, 'n_estimators': 50}",0.6631853785900783,0.680628272251309,0.612565445026178,0.6204188481675392,0.6151832460732984,0.6383962380216806,0.028026079330624273,75
1,0.9334607601165772,0.021611858187615247,0.010500144958496094,0.00021965908299177752,"{1: 1, 0: 2}",5,100,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 5, 'n_estimators': 100}",0.6527415143603134,0.6989528795811518,0.6204188481675392,0.6230366492146597,0.6413612565445026,0.6473022295736334,0.028440130842547012,74
2,1.348728895187378,0.020424282249228397,0.014713764190673828,0.00030790601528397964,"{1: 1, 0: 2}",5,150,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 5, 'n_estimators': 150}",0.6475195822454308,0.6780104712041884,0.6308900523560209,0.6832460732984293,0.680628272251309,0.6640588902710757,0.021028835159692408,71
3,1.785297155380249,0.02014950936702684,0.01906867027282715,0.00031562688242691306,"{1: 1, 0: 2}",5,200,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 5, 'n_estimators': 200}",0.660574412532637,0.7041884816753927,0.6151832460732984,0.6570680628272252,0.6701570680628273,0.6614342542342762,0.02850603499694757,73
4,2.218866157531738,0.03793034679637245,0.023870182037353516,0.00047502290338026883,"{1: 1, 0: 2}",5,250,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 5, 'n_estimators': 250}",0.6762402088772846,0.6963350785340314,0.6465968586387435,0.6518324607329843,0.643979057591623,0.6629967328749333,0.02020942239904018,72
5,0.7096225261688233,0.008346101974641725,0.0062939167022705075,0.0001990360566637673,"{1: 1, 0: 2}",10,50,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 10, 'n_estimators': 50}",0.7232375979112271,0.7617801047120419,0.7146596858638743,0.7329842931937173,0.7486910994764397,0.73627055623146,0.01704519993170117,34
6,1.3986515998840332,0.015427997731472383,0.01118330955505371,5.49161163884367e-05,"{1: 1, 0: 2}",10,100,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 10, 'n_estimators': 100}",0.7258485639686684,0.7774869109947644,0.7513089005235603,0.743455497382199,0.7696335078534031,0.7535466761445191,0.018471307185815116,7
7,2.142193555831909,0.01386435071068131,0.01687941551208496,0.0005489806467022624,"{1: 1, 0: 2}",10,150,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 10, 'n_estimators': 150}",0.7232375979112271,0.7643979057591623,0.7617801047120419,0.7329842931937173,0.7853403141361257,0.7535480431424549,0.0225292066149315,6
8,2.9805898666381836,0.030445832042224157,0.02261795997619629,0.0006300234947952873,"{1: 1, 0: 2}",10,200,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 10, 'n_estimators': 200}",0.7336814621409922,0.7617801047120419,0.7460732984293194,0.7513089005235603,0.774869109947644,0.7535425751507115,0.013985143451421003,8
9,3.6274406909942627,0.08135680042587534,0.027989530563354494,0.000927807505448272,"{1: 1, 0: 2}",10,250,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 10, 'n_estimators': 250}",0.7284595300261096,0.7591623036649214,0.7801047120418848,0.7356020942408377,0.7801047120418848,0.7566866704031276,0.02165303172418733,4
10,0.853650426864624,0.026037010984619566,0.006616353988647461,0.0002623038689456507,"{1: 1, 0: 2}",15,50,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 15, 'n_estimators': 50}",0.7232375979112271,0.725130890052356,0.7408376963350786,0.7198952879581152,0.7460732984293194,0.7310349541372193,0.010411478790839436,50
11,1.685155487060547,0.06164422239609049,0.012189245223999024,0.0005171472894743683,"{1: 1, 0: 2}",15,100,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 15, 'n_estimators': 100}",0.7101827676240209,0.743455497382199,0.7356020942408377,0.7146596858638743,0.7591623036649214,0.7326124697551707,0.018203278663256495,45
12,2.6249792098999025,0.04521732030243647,0.018163299560546874,0.0007307821628896392,"{1: 1, 0: 2}",15,150,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 15, 'n_estimators': 150}",0.7154046997389034,0.7329842931937173,0.7486910994764397,0.7094240837696335,0.7643979057591623,0.7341804163875713,0.020447448929799043,43
13,3.311269998550415,0.08548563187590788,0.023179912567138673,0.000728930961855685,"{1: 1, 0: 2}",15,200,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 15, 'n_estimators': 200}",0.7284595300261096,0.7539267015706806,0.756544502617801,0.7225130890052356,0.7696335078534031,0.746215466214646,0.01784170828837293,14
14,4.1360396385192875,0.052876977488670415,0.029571723937988282,0.0008448401748142287,"{1: 1, 0: 2}",15,250,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 15, 'n_estimators': 250}",0.7310704960835509,0.743455497382199,0.7539267015706806,0.7198952879581152,0.7722513089005235,0.7441198583790138,0.018138962074823933,17
15,0.9047680377960206,0.019762132370554845,0.006837177276611328,0.0003062296121223393,"{1: 1, 0: 2}",20,50,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 20, 'n_estimators': 50}",0.6892950391644909,0.7356020942408377,0.7146596858638743,0.7303664921465969,0.7303664921465969,0.7200579607124793,0.016909467415105583,64
