,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_class_weight,param_kernel,param_degree,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.9899463176727294,0.03641791337610959,0.2272407054901123,0.015931163476812303,1,"{1: 1, 0: 2}",rbf,,"{'C': 1, 'class_weight': {1: 1, 0: 2}, 'kernel': 'rbf'}",0.7441253263707572,0.7670157068062827,0.756544502617801,0.7198952879581152,0.7696335078534031,0.7514428663212719,0.018156186739131344,29
1,0.9481813907623291,0.01778448952373971,0.21752219200134276,0.004778047258865962,1,"{1: 1, 0: 1}",rbf,,"{'C': 1, 'class_weight': {1: 1, 0: 1}, 'kernel': 'rbf'}",0.7493472584856397,0.7696335078534031,0.7591623036649214,0.756544502617801,0.7853403141361257,0.7640055773515783,0.012496686309271714,20
2,0.9514222621917725,0.004153234050923678,0.21582961082458496,0.0012501914363766348,1,"{1: 1, 0: 1.5}",rbf,,"{'C': 1, 'class_weight': {1: 1, 0: 1.5}, 'kernel': 'rbf'}",0.7441253263707572,0.7722513089005235,0.7617801047120419,0.7539267015706806,0.7879581151832461,0.7640083113474498,0.015122678099580164,19
3,0.9714337348937988,0.0015031692128408191,0.21239643096923827,0.002015801417151289,2,"{1: 1, 0: 2}",rbf,,"{'C': 2, 'class_weight': {1: 1, 0: 2}, 'kernel': 'rbf'}",0.7545691906005222,0.7827225130890052,0.7722513089005235,0.7303664921465969,0.7984293193717278,0.7676677648216751,0.023481418823652376,16
4,0.9621281623840332,0.003851221933367793,0.2127913475036621,0.0009951589732405284,2,"{1: 1, 0: 1}",rbf,,"{'C': 2, 'class_weight': {1: 1, 0: 1}, 'kernel': 'rbf'}",0.7519582245430809,0.7827225130890052,0.7774869109947644,0.7513089005235603,0.8010471204188482,0.7729047339138518,0.019050014842884204,5
5,0.9709275245666504,0.0013138096625182692,0.21187920570373536,0.0006658060762570373,2,"{1: 1, 0: 1.5}",rbf,,"{'C': 2, 'class_weight': {1: 1, 0: 1.5}, 'kernel': 'rbf'}",0.7545691906005222,0.7827225130890052,0.7774869109947644,0.743455497382199,0.7958115183246073,0.7708091260782195,0.019097631929965317,13
6,0.9760372638702393,0.002427755503699681,0.21170930862426757,0.0008636723265631948,3,"{1: 1, 0: 2}",rbf,,"{'C': 3, 'class_weight': {1: 1, 0: 2}, 'kernel': 'rbf'}",0.7571801566579635,0.7879581151832461,0.774869109947644,0.7329842931937173,0.8036649214659686,0.7713313192897079,0.024516027199993535,12
7,0.9753001689910888,0.002691314422809435,0.212247896194458,0.000695156743219996,3,"{1: 1, 0: 1}",rbf,,"{'C': 3, 'class_weight': {1: 1, 0: 1}, 'kernel': 'rbf'}",0.7545691906005222,0.7879581151832461,0.7670157068062827,0.7513089005235603,0.7984293193717278,0.7718562464970677,0.01849251161855682,11
8,0.9763503074645996,0.001754851300038257,0.212141752243042,0.0010929941995174027,3,"{1: 1, 0: 1.5}",rbf,,"{'C': 3, 'class_weight': {1: 1, 0: 1.5}, 'kernel': 'rbf'}",0.7571801566579635,0.7905759162303665,0.7670157068062827,0.7408376963350786,0.7984293193717278,0.7708077590802838,0.02122275429450837,14
9,0.97859787940979,0.0009699957851043387,0.21178832054138183,0.0010589395757810067,4,"{1: 1, 0: 2}",rbf,,"{'C': 4, 'class_weight': {1: 1, 0: 2}, 'kernel': 'rbf'}",0.7676240208877284,0.7853403141361257,0.7722513089005235,0.7382198952879581,0.7984293193717278,0.7723729717168127,0.020179619361656093,9
10,0.9766838550567627,0.002702008744849181,0.21175761222839357,0.0008984870301147774,4,"{1: 1, 0: 1}",rbf,,"{'C': 4, 'class_weight': {1: 1, 0: 1}, 'kernel': 'rbf'}",0.7650130548302873,0.7931937172774869,0.7670157068062827,0.7460732984293194,0.8010471204188482,0.774468579552445,0.020041426433325602,4
11,0.9791024208068848,0.002724826540321635,0.21186428070068358,0.0009634280243684247,4,"{1: 1, 0: 1.5}",rbf,,"{'C': 4, 'class_weight': {1: 1, 0: 1.5}, 'kernel': 'rbf'}",0.7676240208877284,0.7853403141361257,0.7722513089005235,0.7408376963350786,0.7984293193717278,0.7728965319262369,0.019301583226713746,6
12,0.9780644416809082,0.0019260979051460487,0.2119442939758301,0.0012569120364279128,5,"{1: 1, 0: 2}",rbf,,"{'C': 5, 'class_weight': {1: 1, 0: 2}, 'kernel': 'rbf'}",0.7702349869451697,0.7931937172774869,0.7670157068062827,0.7382198952879581,0.7958115183246073,0.7728951649283009,0.02088640409356302,7
13,0.9767241954803467,0.0036249404748087016,0.21181440353393555,0.0011245234940770205,5,"{1: 1, 0: 1}",rbf,,"{'C': 5, 'class_weight': {1: 1, 0: 1}, 'kernel': 'rbf'}",0.7702349869451697,0.7879581151832461,0.7696335078534031,0.743455497382199,0.7905759162303665,0.7723716047188768,0.016867363988040108,10
14,0.9779678344726562,0.0018260317293809334,0.2119981288909912,0.0009074941456400894,5,"{1: 1, 0: 1.5}",rbf,,"{'C': 5, 'class_weight': {1: 1, 0: 1.5}, 'kernel': 'rbf'}",0.7702349869451697,0.7931937172774869,0.7670157068062827,0.7382198952879581,0.7958115183246073,0.7728951649283009,0.02088640409356302,7
15,0.6995694637298584,0.010271814275466702,0.15367703437805175,0.001927120638015674,1,"{1: 1, 0: 2}",poly,1,"{'C': 1, 'class_weight': {1: 1, 0: 2}, 'degree': 1, 'kernel': 'poly'}",0.7362924281984334,0.6858638743455497,0.680628272251309,0.7225130890052356,0.7382198952879581,0.7127035118176971,0.024710069764751947,41
