,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.5358840942382812,0.003041469888563929,0.006197786331176758,0.000355574325966089,"{1: 1, 0: 2}",5,50,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 5, 'n_estimators': 50}",0.5535248041775457,0.5916230366492147,0.6047120418848168,0.5497382198952879,0.5392670157068062,0.5677730236627342,0.025589734589004487,75
1,1.0683404445648192,0.008755057061811799,0.011040687561035156,0.00019073939318046103,"{1: 1, 0: 2}",5,100,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 5, 'n_estimators': 100}",0.556135770234987,0.6020942408376964,0.5785340314136126,0.5680628272251309,0.6256544502617801,0.5860962639946414,0.024903047016252313,74
2,1.5193453788757325,0.018778838586650907,0.015432214736938477,0.00033753876063870834,"{1: 1, 0: 2}",5,150,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 5, 'n_estimators': 150}",0.5822454308093995,0.5654450261780105,0.6361256544502618,0.6047120418848168,0.5785340314136126,0.5934124369472202,0.024820737554094613,73
3,1.9941253185272216,0.005188494636126338,0.0199951171875,0.00021273530699220713,"{1: 1, 0: 2}",5,200,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 5, 'n_estimators': 200}",0.6109660574412533,0.599476439790576,0.6073298429319371,0.5759162303664922,0.5837696335078534,0.5954916408076224,0.013535740627659934,72
4,2.5179160594940186,0.026589016493620603,0.02457146644592285,0.00014427577983704094,"{1: 1, 0: 2}",5,250,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 5, 'n_estimators': 250}",0.608355091383812,0.581151832460733,0.5968586387434555,0.6047120418848168,0.6361256544502618,0.6054406517846158,0.017967703866332063,71
5,0.806082820892334,0.0031363898548708766,0.006488704681396484,8.508632333109248e-05,"{1: 1, 0: 2}",10,50,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 10, 'n_estimators': 50}",0.6684073107049608,0.7094240837696335,0.7277486910994765,0.693717277486911,0.6884816753926701,0.6975558076907304,0.019995875840967556,64
6,1.6096633434295655,0.014927353225715565,0.011987447738647461,0.0001869862668268167,"{1: 1, 0: 2}",10,100,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 10, 'n_estimators': 100}",0.6710182767624021,0.6910994764397905,0.7617801047120419,0.7068062827225131,0.7591623036649214,0.7179732888603338,0.03651643201861756,35
7,2.420009469985962,0.017701186824437734,0.017303609848022462,8.412515692679965e-05,"{1: 1, 0: 2}",10,150,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 10, 'n_estimators': 150}",0.6997389033942559,0.7303664921465969,0.7696335078534031,0.7198952879581152,0.7120418848167539,0.7263352152338249,0.023850069595343592,23
8,3.2323366165161134,0.0162261051149712,0.02287015914916992,9.335475455462537e-05,"{1: 1, 0: 2}",10,200,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 10, 'n_estimators': 200}",0.7075718015665796,0.7513089005235603,0.7774869109947644,0.7225130890052356,0.7094240837696335,0.7336609571719546,0.02692400107786618,9
9,4.0546928405761715,0.023208095722882977,0.028603219985961915,0.0004205208109069575,"{1: 1, 0: 2}",10,250,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 10, 'n_estimators': 250}",0.6945169712793734,0.725130890052356,0.756544502617801,0.725130890052356,0.7408376963350786,0.7284321900673929,0.020572981950642062,17
10,0.9600095748901367,0.01134684089550565,0.006873464584350586,0.0002094797574013099,"{1: 1, 0: 2}",15,50,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 15, 'n_estimators': 50}",0.6762402088772846,0.7120418848167539,0.7303664921465969,0.693717277486911,0.7068062827225131,0.7038344292100119,0.018132525247558068,62
11,1.8986916542053223,0.01938192032225109,0.012661314010620118,0.00015209016985422448,"{1: 1, 0: 2}",15,100,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 15, 'n_estimators': 100}",0.660574412532637,0.7068062827225131,0.7486910994764397,0.675392670157068,0.7408376963350786,0.7064604322447472,0.03474500769860356,55
12,2.844892168045044,0.030039518919793243,0.01842775344848633,0.0001293135954437318,"{1: 1, 0: 2}",15,150,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 15, 'n_estimators': 150}",0.6945169712793734,0.7277486910994765,0.7670157068062827,0.6963350785340314,0.7277486910994765,0.722673027763728,0.026473567903261493,28
13,3.780896282196045,0.022732340137662482,0.02431960105895996,0.0002697320921973378,"{1: 1, 0: 2}",15,200,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 15, 'n_estimators': 200}",0.6892950391644909,0.7382198952879581,0.7722513089005235,0.693717277486911,0.7303664921465969,0.7247700025972961,0.030624955589409975,25
14,4.787749910354615,0.048144343957218345,0.030813980102539062,0.0014507855867246205,"{1: 1, 0: 2}",15,250,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 15, 'n_estimators': 250}",0.6866840731070496,0.7329842931937173,0.7591623036649214,0.7068062827225131,0.7146596858638743,0.7200593277104151,0.0245552618173987,30
15,1.0325157165527343,0.00849713845547709,0.007325267791748047,0.00011278984017233918,"{1: 1, 0: 2}",20,50,"{'class_weight': {1: 1, 0: 2}, 'max_depth': 20, 'n_estimators': 50}",0.6866840731070496,0.7329842931937173,0.7303664921465969,0.6780104712041884,0.7015706806282722,0.7059232020559649,0.02235167176349794,57
